Invoice;InboundDate;IDSupplier;OrderDate;InvoiceDate;LeadTime;SupplierName;Country;Currency;CountryOrigen;TheoricalLeadTime;GoodLeadTime
FFCC141434;2014-06-07;PROV40000850;2014-05-27;2014-06-10;11 days;Proveedor 21;ES;EUR;Spanish;10 days;False
FFCC141435;2014-06-05;PROV1170;2014-04-30;2014-06-08;36 days;Proveedor 221;ES;EUR;Spanish;10 days;False
FFCC141436;2014-06-06;PROV1061;2014-04-26;2014-06-09;41 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC141440;2014-06-01;PROV1397;2014-04-04;2014-06-04;58 days;Proveedor 321;PE;USD;Extracommunity;45 days;False
FFCC141441;2014-06-06;PROV40000520;2014-05-21;2014-06-09;16 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141442;2014-06-13;PROV1129;2014-05-09;2014-06-16;35 days;Proveedor 207;ES;EUR;Spanish;10 days;False
FFCC141443;2014-06-10;PROV40000187;2014-04-19;2014-06-13;52 days;Proveedor 13;ES;EUR;Spanish;10 days;False
FFCC141444;2014-06-13;PROV1650;2014-05-28;2014-06-16;16 days;Proveedor 539;ES;EUR;Spanish;10 days;False
FFCC141445;2014-06-13;PROV40000520;2014-05-15;2014-06-16;29 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141446;2014-06-05;PROV1657;2014-05-15;2014-06-08;21 days;Proveedor 546;SG;USD;Extracommunity;45 days;True
FFCC141449;2014-06-01;PROV1428;2014-04-08;2014-06-04;54 days;Proveedor 341;CH;USD;Extracommunity;45 days;False
FFCC141492;2014-06-13;PROV1485;2014-04-28;2014-06-16;46 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC141495;2014-06-06;PROV1014;2014-05-24;2014-06-09;13 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC141496;2014-06-03;PROV1014;2014-04-22;2014-06-06;42 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC141500;2014-06-20;PROV1465;2014-05-25;2014-06-23;26 days;Proveedor 368;ES;EUR;Spanish;10 days;False
FFCC141501;2014-06-09;PROV1027;2014-04-29;2014-06-12;41 days;Proveedor 178;ES;EUR;Spanish;10 days;False
FFCC141505;2014-06-01;PROV1398;2014-04-30;2014-06-04;32 days;Proveedor 322;CH;USD;Extracommunity;45 days;True
FFCC141508;2014-06-24;PROV1003;2014-05-23;2014-06-27;32 days;Proveedor 165;CN;USD;Extracommunity;45 days;True
FFCC141509;2014-06-01;PROV1597;2014-04-20;2014-06-04;42 days;Proveedor 491;CH;USD;Extracommunity;45 days;True
FFCC141513;2014-06-10;PROV1255;2014-05-20;2014-06-13;21 days;Proveedor 252;ES;EUR;Spanish;10 days;False
FFCC141527;2014-06-12;PROV1027;2014-06-03;2014-06-15;9 days;Proveedor 178;ES;EUR;Spanish;10 days;True
FFCC141528;2014-06-16;PROV1027;2014-04-26;2014-06-19;51 days;Proveedor 178;ES;EUR;Spanish;10 days;False
FFCC141529;2014-06-12;PROV1027;2014-05-15;2014-06-15;28 days;Proveedor 178;ES;EUR;Spanish;10 days;False
FFCC141530;2014-06-06;PROV40000500;2014-05-21;2014-06-09;16 days;Proveedor 16;ES;EUR;Spanish;10 days;False
FFCC141548;2014-06-25;PROV40002720;2014-05-19;2014-06-28;37 days;Proveedor 38;ES;EUR;Spanish;10 days;False
FFCC141549;2014-06-16;PROV40002330;2014-05-29;2014-06-19;18 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141551;2014-06-13;PROV1649;2014-06-08;2014-06-16;5 days;Proveedor 538;ES;EUR;Spanish;10 days;True
FFCC141552;2014-06-30;PROV41000980;2014-06-16;2014-07-03;14 days;Proveedor 110;ES;EUR;Spanish;10 days;False
FFCC141553;2014-06-30;PROV1414;2014-06-07;2014-07-03;23 days;Proveedor 335;ES;EUR;Spanish;10 days;False
FFCC141554;2014-06-25;PROV40000187;2014-06-09;2014-06-28;16 days;Proveedor 13;ES;EUR;Spanish;10 days;False
FFCC141620;2014-06-13;PROV1397;2014-05-30;2014-06-16;14 days;Proveedor 321;PE;USD;Extracommunity;45 days;True
FFCC141622;2014-06-20;PROV40000500;2014-05-24;2014-06-23;27 days;Proveedor 16;ES;EUR;Spanish;10 days;False
FFCC141623;2014-06-30;PROV40000500;2014-05-02;2014-07-03;59 days;Proveedor 16;ES;EUR;Spanish;10 days;False
FFCC141625;2014-06-30;PROV40002065;2014-06-15;2014-07-03;15 days;Proveedor 30;ES;EUR;Spanish;10 days;False
FFCC141626;2014-06-30;PROV40002065;2014-06-19;2014-07-03;11 days;Proveedor 30;ES;EUR;Spanish;10 days;False
FFCC141628;2014-06-01;PROV1694;2014-05-15;2014-06-04;17 days;Proveedor 578;ES;EUR;Spanish;10 days;False
FFCC141629;2014-06-01;PROV1694;2014-05-04;2014-06-04;28 days;Proveedor 578;ES;EUR;Spanish;10 days;False
FFCC141630;2014-06-17;PROV1694;2014-06-01;2014-06-20;16 days;Proveedor 578;ES;EUR;Spanish;10 days;False
FFCC141647;2014-06-20;PROV40000520;2014-05-14;2014-06-23;37 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141656;2014-06-30;PROV1129;2014-06-07;2014-07-03;23 days;Proveedor 207;ES;EUR;Spanish;10 days;False
FFCC141672;2014-06-05;PROV1441;2014-05-21;2014-06-08;15 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141673;2014-06-19;PROV1441;2014-05-19;2014-06-22;31 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141674;2014-06-01;PROV1597;2014-05-29;2014-06-04;3 days;Proveedor 491;CH;USD;Extracommunity;45 days;True
FFCC141676;2014-06-05;PROV1475;2014-04-26;2014-06-08;40 days;Proveedor 376;CH;USD;Extracommunity;45 days;True
FFCC141680;2014-06-30;PROV40002220;2014-06-18;2014-07-03;12 days;Proveedor 36;ES;EUR;Spanish;10 days;False
FFCC141681;2014-06-13;PROV1061;2014-05-29;2014-06-16;15 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC141682;2014-06-13;PROV1061;2014-05-03;2014-06-16;41 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC141685;2014-06-01;PROV1485;2014-05-20;2014-06-04;12 days;Proveedor 386;IE;EUR;Intracommunity;20 days;True
FFCC141687;2014-06-24;PROV1061;2014-06-07;2014-06-27;17 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC141688;2014-06-27;PROV1734;2014-05-05;2014-06-30;53 days;Proveedor 593;ES;EUR;Spanish;10 days;False
FFCC141689;2014-06-01;PROV1441;2014-04-13;2014-06-04;49 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141690;2014-06-02;PROV40002220;2014-05-28;2014-06-05;5 days;Proveedor 36;ES;EUR;Spanish;10 days;True
FFCC141691;2014-06-01;PROV1585;2014-05-24;2014-06-04;8 days;Proveedor 479;CH;USD;Extracommunity;45 days;True
FFCC141695;2014-06-19;PROV1133;2014-05-06;2014-06-22;44 days;Proveedor 208;DE;EUR;Intracommunity;20 days;False
FFCC141696;2014-06-01;PROV1597;2014-04-27;2014-06-04;35 days;Proveedor 491;CH;USD;Extracommunity;45 days;True
FFCC141697;2014-06-01;PROV40000520;2014-04-24;2014-06-04;38 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141698;2014-06-30;PROV40000520;2014-05-30;2014-07-03;31 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141700;2014-06-30;PROV40000850;2014-05-27;2014-07-03;34 days;Proveedor 21;ES;EUR;Spanish;10 days;False
FFCC141701;2014-06-23;PROV40002330;2014-05-11;2014-06-26;43 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141702;2014-06-18;PROV40001000;2014-05-17;2014-06-21;32 days;Proveedor 24;FR;EUR;Intracommunity;20 days;False
FFCC141703;2014-06-30;PROV1061;2014-05-29;2014-07-03;32 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC141706;2014-06-13;PROV1485;2014-05-12;2014-06-16;32 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC141707;2014-06-09;PROV1485;2014-05-18;2014-06-12;22 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC141708;2014-06-06;PROV1216;2014-05-15;2014-06-09;22 days;Proveedor 239;ES;EUR;Spanish;10 days;False
FFCC141709;2014-06-16;PROV40001600;2014-04-30;2014-06-19;47 days;Proveedor 27;ES;EUR;Spanish;10 days;False
FFCC141748;2014-07-01;PROV1551;2014-06-09;2014-07-04;22 days;Proveedor 447;CH;USD;Extracommunity;45 days;True
FFCC141751;2014-07-15;PROV1129;2014-06-20;2014-07-18;25 days;Proveedor 207;ES;EUR;Spanish;10 days;False
FFCC141752;2014-07-01;PROV1398;2014-05-19;2014-07-04;43 days;Proveedor 322;CH;USD;Extracommunity;45 days;True
FFCC141755;2014-07-04;PROV1650;2014-06-19;2014-07-07;15 days;Proveedor 539;ES;EUR;Spanish;10 days;False
FFCC141756;2014-07-09;PROV1003;2014-06-06;2014-07-12;33 days;Proveedor 165;CN;USD;Extracommunity;45 days;True
FFCC141757;2014-07-15;PROV40001470;2014-06-14;2014-07-18;31 days;Proveedor 26;ES;EUR;Spanish;10 days;False
FFCC141758;2014-07-02;PROV1484;2014-05-15;2014-07-05;48 days;Proveedor 385;ES;EUR;Spanish;10 days;False
FFCC141759;2014-07-07;PROV1441;2014-06-15;2014-07-10;22 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141760;2014-07-01;PROV1441;2014-05-21;2014-07-04;41 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141761;2014-07-01;PROV40000187;2014-06-21;2014-07-04;10 days;Proveedor 13;ES;EUR;Spanish;10 days;True
FFCC141762;2014-07-01;PROV40002330;2014-05-16;2014-07-04;46 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141763;2014-07-01;PROV1647;2014-06-23;2014-07-04;8 days;Proveedor 536;ES;EUR;Spanish;10 days;True
FFCC141764;2014-07-01;PROV1733;2014-06-30;2014-07-04;1 days;Proveedor 592;CH;USD;Extracommunity;45 days;True
FFCC141780;2014-07-15;PROV1465;2014-06-22;2014-07-18;23 days;Proveedor 368;ES;EUR;Spanish;10 days;False
FFCC141784;2014-07-15;PROV41001270;2014-05-27;2014-07-18;49 days;Proveedor 131;ES;EUR;Spanish;10 days;False
FFCC141799;2014-07-15;PROV1734;2014-06-03;2014-07-18;42 days;Proveedor 593;ES;EUR;Spanish;10 days;False
FFCC141805;2014-07-08;PROV1061;2014-05-20;2014-07-11;49 days;Proveedor 182;IN;USD;Extracommunity;45 days;False
FFCC141806;2014-07-25;PROV40000500;2014-06-14;2014-07-28;41 days;Proveedor 16;ES;EUR;Spanish;10 days;False
FFCC141815;2014-07-15;PROV1649;2014-05-29;2014-07-18;47 days;Proveedor 538;ES;EUR;Spanish;10 days;False
FFCC141816;2014-07-25;PROV40002720;2014-06-10;2014-07-28;45 days;Proveedor 38;ES;EUR;Spanish;10 days;False
FFCC141818;2014-07-18;PROV40000520;2014-06-24;2014-07-21;24 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141826;2014-07-25;PROV40000187;2014-06-06;2014-07-28;49 days;Proveedor 13;ES;EUR;Spanish;10 days;False
FFCC141827;2014-07-01;PROV1585;2014-05-17;2014-07-04;45 days;Proveedor 479;CH;USD;Extracommunity;45 days;True
FFCC141831;2014-07-01;PROV1485;2014-06-08;2014-07-04;23 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC141834;2014-07-23;PROV40001000;2014-06-19;2014-07-26;34 days;Proveedor 24;FR;EUR;Intracommunity;20 days;False
FFCC141838;2014-07-30;PROV1129;2014-06-24;2014-08-02;36 days;Proveedor 207;ES;EUR;Spanish;10 days;False
FFCC141840;2014-07-31;PROV41000980;2014-07-10;2014-08-03;21 days;Proveedor 110;ES;EUR;Spanish;10 days;False
FFCC141843;2014-07-23;PROV1694;2014-06-07;2014-07-26;46 days;Proveedor 578;ES;EUR;Spanish;10 days;False
FFCC141891;2014-07-11;PROV40000520;2014-06-01;2014-07-14;40 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141892;2014-07-01;PROV40000520;2014-06-07;2014-07-04;24 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141893;2014-07-02;PROV1061;2014-05-20;2014-07-05;43 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC141910;2014-07-31;PROV40000520;2014-07-07;2014-08-03;24 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141911;2014-07-31;PROV40000882;2014-07-01;2014-08-03;30 days;Proveedor 22;ES;EUR;Spanish;10 days;False
FFCC141912;2014-07-23;PROV1441;2014-06-29;2014-07-26;24 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC141913;2014-07-28;PROV40002330;2014-06-08;2014-07-31;50 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141914;2014-07-30;PROV40002720;2014-07-06;2014-08-02;24 days;Proveedor 38;ES;EUR;Spanish;10 days;False
FFCC141915;2014-07-18;PROV40000850;2014-06-17;2014-07-21;31 days;Proveedor 21;ES;EUR;Spanish;10 days;False
FFCC141916;2014-07-11;PROV1397;2014-06-22;2014-07-14;19 days;Proveedor 321;PE;USD;Extracommunity;45 days;True
FFCC141917;2014-07-09;PROV40002330;2014-06-23;2014-07-12;16 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC141918;2014-07-22;PROV1014;2014-05-27;2014-07-25;56 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC141919;2014-07-23;PROV1014;2014-06-12;2014-07-26;41 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC141920;2014-07-01;PROV1597;2014-06-11;2014-07-04;20 days;Proveedor 491;CH;USD;Extracommunity;45 days;True
FFCC141923;2014-07-16;PROV1428;2014-05-29;2014-07-19;48 days;Proveedor 341;CH;USD;Extracommunity;45 days;False
FFCC141926;2014-07-25;PROV40000520;2014-06-11;2014-07-28;44 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141927;2014-07-31;PROV40002065;2014-07-05;2014-08-03;26 days;Proveedor 30;ES;EUR;Spanish;10 days;False
FFCC141929;2014-07-03;PROV40002220;2014-05-26;2014-07-06;38 days;Proveedor 36;ES;EUR;Spanish;10 days;False
FFCC141931;2014-07-01;PROV40000520;2014-05-23;2014-07-04;39 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC141932;2014-07-17;PROV1397;2014-06-10;2014-07-20;37 days;Proveedor 321;PE;USD;Extracommunity;45 days;True
FFCC141933;2014-07-11;PROV1485;2014-06-24;2014-07-14;17 days;Proveedor 386;IE;EUR;Intracommunity;20 days;True
FFCC141946;2014-07-24;PROV40000187;2014-07-16;2014-07-27;8 days;Proveedor 13;ES;EUR;Spanish;10 days;True
FFCC141947;2014-07-15;PROV40000187;2014-05-23;2014-07-18;53 days;Proveedor 13;ES;EUR;Spanish;10 days;False
FFCC141953;2014-07-28;PROV1014;2014-07-14;2014-07-31;14 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC142048;2014-08-01;PROV1485;2014-07-11;2014-08-04;21 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC142050;2014-08-01;PROV1475;2014-07-08;2014-08-04;24 days;Proveedor 376;CH;USD;Extracommunity;45 days;True
FFCC142053;2014-08-12;PROV1014;2014-07-28;2014-08-15;15 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC142054;2014-08-20;PROV1003;2014-07-02;2014-08-23;49 days;Proveedor 165;CN;USD;Extracommunity;45 days;False
FFCC142055;2014-08-11;PROV1003;2014-07-24;2014-08-14;18 days;Proveedor 165;CN;USD;Extracommunity;45 days;True
FFCC142056;2014-08-05;PROV1484;2014-07-05;2014-08-08;31 days;Proveedor 385;ES;EUR;Spanish;10 days;False
FFCC142057;2014-08-08;PROV40000500;2014-06-27;2014-08-11;42 days;Proveedor 16;ES;EUR;Spanish;10 days;False
FFCC142058;2014-08-02;PROV40002330;2014-07-18;2014-08-05;15 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC142059;2014-08-06;PROV1443;2014-07-17;2014-08-09;20 days;Proveedor 351;ES;EUR;Spanish;10 days;False
FFCC142060;2014-08-01;PROV40001000;2014-06-18;2014-08-04;44 days;Proveedor 24;FR;EUR;Intracommunity;20 days;False
FFCC142061;2014-08-06;PROV1650;2014-06-13;2014-08-09;54 days;Proveedor 539;ES;EUR;Spanish;10 days;False
FFCC142062;2014-08-18;PROV1014;2014-07-05;2014-08-21;44 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC142071;2014-08-25;PROV1441;2014-08-09;2014-08-28;16 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC142072;2014-08-20;PROV1649;2014-08-16;2014-08-23;4 days;Proveedor 538;ES;EUR;Spanish;10 days;True
FFCC142073;2014-08-18;PROV40002330;2014-07-05;2014-08-21;44 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC142074;2014-08-31;PROV40000520;2014-08-17;2014-09-03;14 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC142076;2014-08-14;PROV1428;2014-08-06;2014-08-17;8 days;Proveedor 341;CH;USD;Extracommunity;45 days;True
FFCC142079;2014-08-01;PROV1485;2014-06-18;2014-08-04;44 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC142081;2014-08-01;PROV1398;2014-07-11;2014-08-04;21 days;Proveedor 322;CH;USD;Extracommunity;45 days;True
FFCC142085;2014-08-05;PROV40000187;2014-07-12;2014-08-08;24 days;Proveedor 13;ES;EUR;Spanish;10 days;False
FFCC142087;2014-08-31;PROV41000980;2014-08-09;2014-09-03;22 days;Proveedor 110;ES;EUR;Spanish;10 days;False
FFCC142111;2014-08-05;PROV1061;2014-06-14;2014-08-08;52 days;Proveedor 182;IN;USD;Extracommunity;45 days;False
FFCC142124;2014-08-01;PROV1216;2014-06-16;2014-08-04;46 days;Proveedor 239;ES;EUR;Spanish;10 days;False
FFCC142125;2014-08-01;PROV1216;2014-07-17;2014-08-04;15 days;Proveedor 239;ES;EUR;Spanish;10 days;False
FFCC142126;2014-08-14;PROV1647;2014-07-09;2014-08-17;36 days;Proveedor 536;ES;EUR;Spanish;10 days;False
FFCC142127;2014-08-14;PROV1734;2014-06-29;2014-08-17;46 days;Proveedor 593;ES;EUR;Spanish;10 days;False
FFCC142128;2014-08-29;PROV1129;2014-07-26;2014-09-01;34 days;Proveedor 207;ES;EUR;Spanish;10 days;False
FFCC142129;2014-08-04;PROV1027;2014-06-16;2014-08-07;49 days;Proveedor 178;ES;EUR;Spanish;10 days;False
FFCC142130;2014-08-29;PROV1465;2014-07-28;2014-09-01;32 days;Proveedor 368;ES;EUR;Spanish;10 days;False
FFCC142131;2014-08-08;PROV40002220;2014-07-03;2014-08-11;36 days;Proveedor 36;ES;EUR;Spanish;10 days;False
FFCC142140;2014-08-14;PROV41001800;2014-07-21;2014-08-17;24 days;Proveedor 164;ES;EUR;Spanish;10 days;False
FFCC142145;2014-08-12;PROV1485;2014-06-26;2014-08-15;47 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC142161;2014-08-31;PROV40002065;2014-07-30;2014-09-03;32 days;Proveedor 30;ES;EUR;Spanish;10 days;False
FFCC142198;2014-09-15;PROV40001470;2014-08-22;2014-09-18;24 days;Proveedor 26;ES;EUR;Spanish;10 days;False
FFCC142199;2014-09-09;PROV1014;2014-08-23;2014-09-12;17 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC142200;2014-09-16;PROV1003;2014-09-01;2014-09-19;15 days;Proveedor 165;CN;USD;Extracommunity;45 days;True
FFCC142201;2014-09-01;PROV40001000;2014-08-03;2014-09-04;29 days;Proveedor 24;FR;EUR;Intracommunity;20 days;False
FFCC142202;2014-09-02;PROV1441;2014-07-24;2014-09-05;40 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC142203;2014-09-10;PROV1170;2014-08-08;2014-09-13;33 days;Proveedor 221;ES;EUR;Spanish;10 days;False
FFCC142204;2014-09-05;PROV1014;2014-08-09;2014-09-08;27 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC142205;2014-09-01;PROV40000850;2014-08-16;2014-09-04;16 days;Proveedor 21;ES;EUR;Spanish;10 days;False
FFCC142206;2014-09-01;PROV1014;2014-07-31;2014-09-04;32 days;Proveedor 171;ES;EUR;Spanish;10 days;False
FFCC142207;2014-09-01;PROV1597;2014-08-06;2014-09-04;26 days;Proveedor 491;CH;USD;Extracommunity;45 days;True
FFCC142210;2014-09-01;PROV40001825;2014-07-13;2014-09-04;50 days;Proveedor 29;ES;EUR;Spanish;10 days;False
FFCC142211;2014-09-01;PROV1397;2014-08-02;2014-09-04;30 days;Proveedor 321;PE;USD;Extracommunity;45 days;True
FFCC142212;2014-09-01;PROV1502;2014-08-21;2014-09-04;11 days;Proveedor 401;ES;EUR;Spanish;10 days;False
FFCC142213;2014-09-01;PROV1061;2014-07-05;2014-09-04;58 days;Proveedor 182;IN;USD;Extracommunity;45 days;False
FFCC142214;2014-09-01;PROV1061;2014-08-10;2014-09-04;22 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC142227;2014-09-15;PROV1129;2014-09-02;2014-09-18;13 days;Proveedor 207;ES;EUR;Spanish;10 days;False
FFCC142232;2014-09-10;PROV40001000;2014-07-22;2014-09-13;50 days;Proveedor 24;FR;EUR;Intracommunity;20 days;False
FFCC142233;2014-09-01;PROV40002330;2014-07-05;2014-09-04;58 days;Proveedor 37;ES;EUR;Spanish;10 days;False
FFCC142234;2014-09-05;PROV40000520;2014-07-23;2014-09-08;44 days;Proveedor 17;ES;EUR;Spanish;10 days;False
FFCC142235;2014-09-05;PROV1061;2014-08-05;2014-09-08;31 days;Proveedor 182;IN;USD;Extracommunity;45 days;True
FFCC142237;2014-09-11;PROV1443;2014-08-13;2014-09-14;29 days;Proveedor 351;ES;EUR;Spanish;10 days;False
FFCC142240;2014-09-12;PROV1414;2014-08-10;2014-09-15;33 days;Proveedor 335;ES;EUR;Spanish;10 days;False
FFCC142245;2014-09-11;PROV1441;2014-08-03;2014-09-14;39 days;Proveedor 349;ES;EUR;Spanish;10 days;False
FFCC142249;2014-09-11;PROV1397;2014-08-21;2014-09-14;21 days;Proveedor 321;PE;USD;Extracommunity;45 days;True
FFCC142258;2014-09-01;PROV1458;2014-07-14;2014-09-04;49 days;Proveedor 364;CH;USD;Extracommunity;45 days;False
FFCC142264;2014-09-01;PROV1485;2014-07-31;2014-09-04;32 days;Proveedor 386;IE;EUR;Intracommunity;20 days;False
FFCC142266;2014-09-09;PROV1428;2014-07-13;2014-09-12;58 days;Proveedor 341;CH;USD;Extracommunity;45 days;False
FFCC142269;2014-09-11;PROV40002220;2014-09-01;2014-09-14;10 days;Proveedor 36;ES;EUR;Spanish;10 days;True
FFCC142272;2014-09-15;PROV1323;2014-08-04;2014-09-18;42 days;Proveedor 281;ES;EUR;Spanish;10 days;False
